Time resolution is 1 ps
Time	 a  b   s | sum carry
1630000	 0101  0001  1 | 0100 1
1640000	 0101  0010  0 | 0111 0
1650000	 0101  0010  1 | 0011 1
1660000	 0101  0011  0 | 1000 0
1670000	 0101  0011  1 | 0010 1
1680000	 0101  0100  0 | 1001 0
1690000	 0101  0100  1 | 0001 1
1700000	 0101  0101  0 | 1010 0
1710000	 0101  0101  1 | 0000 1
1720000	 0101  0110  0 | 1011 0
1730000	 0101  0110  1 | 1111 0
1740000	 0101  0111  0 | 1100 0
1750000	 0101  0111  1 | 1110 0
1760000	 0101  1000  0 | 1101 0
1770000	 0101  1000  1 | 1101 0
1780000	 0101  1001  0 | 1110 0
1790000	 0101  1001  1 | 1100 0
1800000	 0101  1010  0 | 1111 0
1810000	 0101  1010  1 | 1011 0
1820000	 0101  1011  0 | 0000 1
1830000	 0101  1011  1 | 1010 0
1840000	 0101  1100  0 | 0001 1
1850000	 0101  1100  1 | 1001 0
1860000	 0101  1101  0 | 0010 1
1870000	 0101  1101  1 | 1000 0
1880000	 0101  1110  0 | 0011 1
1890000	 0101  1110  1 | 0111 0
1900000	 0101  1111  0 | 0100 1
1910000	 0101  1111  1 | 0110 0
1920000	 0110  0000  0 | 0110 0
1930000	 0110  0000  1 | 0110 1
1940000	 0110  0001  0 | 0111 0
1950000	 0110  0001  1 | 0101 1
1960000	 0110  0010  0 | 1000 0
1970000	 0110  0010  1 | 0100 1
1980000	 0110  0011  0 | 1001 0
1990000	 0110  0011  1 | 0011 1
2000000	 0110  0100  0 | 1010 0
2010000	 0110  0100  1 | 0010 1
2020000	 0110  0101  0 | 1011 0
2030000	 0110  0101  1 | 0001 1
2040000	 0110  0110  0 | 1100 0
2050000	 0110  0110  1 | 0000 1
2060000	 0110  0111  0 | 1101 0
2070000	 0110  0111  1 | 1111 0
2080000	 0110  1000  0 | 1110 0
2090000	 0110  1000  1 | 1110 0
2100000	 0110  1001  0 | 1111 0
2110000	 0110  1001  1 | 1101 0
2120000	 0110  1010  0 | 0000 1
2130000	 0110  1010  1 | 1100 0
2140000	 0110  1011  0 | 0001 1
2150000	 0110  1011  1 | 1011 0
2160000	 0110  1100  0 | 0010 1
2170000	 0110  1100  1 | 1010 0
2180000	 0110  1101  0 | 0011 1
